***SESSION HEADER***
{
  "Participant": "S22",
  "Timestamp": "16-00-34-19-02-2019"
}
---SESSION HEADER---
Timestamp;Trial;Round;Training;Phase;PhaseLenght;Stimulus;FearObject;BigObject;RealDistance;EstimatedDistance;HeadsetPosition;HeadsetRotation;ControllerPosition;ControllerRotation;EstimatedPosition;TruePosition;
526.5698;5;0;True;Estimation;22.830;Crocodile;True;True;2.8023;2.8918;(-0.0056, 1.1175, -7.1134);(0.1029, 0.0685, -0.0166, 0.9922);(0.1177, 0.6821, -6.8308);(0.0609, 0.0640, -0.3065, 0.9478);(0.3506, 0.0000, -4.1295);(0.3539, 0.0000, 2.7798);
528.4239;6;0;True;Focus;1.854;empty;empty;empty;7.0000;0.0000;(0.0092, 1.1292, -7.1276);(0.0288, 0.1390, -0.0303, 0.9894);(0.1199, 0.6867, -6.8303);(0.0493, 0.0613, -0.3089, 0.9478);(0.3506, 0.0000, -4.1295);(0.0000, 0.0000, -7.0000);
528.4351;6;0;True;BeforeFade;0.011;Turtle;False;False;3.0455;0.0000;(0.0098, 1.1293, -7.1276);(0.0282, 0.1429, -0.0307, 0.9889);(0.1198, 0.6867, -6.8305);(0.0494, 0.0617, -0.3087, 0.9479);(0.3506, 0.0000, -4.1295);(0.5532, 0.0000, 2.9948);
528.5356;6;0;True;Stimuli;0.100;Turtle;False;False;3.0455;0.0000;(0.0159, 1.1299, -7.1296);(0.0253, 0.1884, -0.0347, 0.9812);(0.1198, 0.6868, -6.8309);(0.0494, 0.0617, -0.3074, 0.9483);(0.3506, 0.0000, -4.1295);(0.5532, 0.0000, 2.9948);
529.5407;6;0;True;AfterFade;1.005;Turtle;False;False;3.0455;0.0000;(0.0123, 1.1314, -7.1271);(0.0201, 0.1389, -0.0409, 0.9893);(0.1251, 0.6848, -6.8256);(0.0373, 0.0519, -0.2963, 0.9529);(0.3506, 0.0000, -4.1295);(0.5532, 0.0000, 2.9948);
535.3937;6;0;True;Estimation;5.853;Turtle;False;False;3.0455;3.1087;(0.0062, 1.1152, -7.1132);(0.1112, 0.1090, -0.0356, 0.9872);(0.1513, 0.6723, -6.8171);(0.0429, 0.0864, -0.2811, 0.9548);(0.5657, 0.0000, -3.9432);(0.5532, 0.0000, 2.9948);
537.0134;7;0;True;Focus;1.620;empty;empty;empty;7.0000;0.0000;(0.0039, 1.1226, -7.1175);(0.0693, 0.1004, -0.0347, 0.9919);(0.1544, 0.6868, -6.8178);(0.0210, 0.0875, -0.2826, 0.9550);(0.5657, 0.0000, -3.9432);(0.0000, 0.0000, -7.0000);
537.0245;7;0;True;BeforeFade;0.011;FinalWolf;True;False;1.5713;0.0000;(0.0039, 1.1226, -7.1176);(0.0691, 0.1005, -0.0346, 0.9919);(0.1543, 0.6871, -6.8179);(0.0211, 0.0873, -0.2826, 0.9550);(0.5657, 0.0000, -3.9432);(0.0065, 0.0000, 1.5713);
537.1248;7;0;True;Stimuli;0.100;FinalWolf;True;False;1.5713;0.0000;(0.0040, 1.1229, -7.1181);(0.0672, 0.1003, -0.0349, 0.9921);(0.1547, 0.6880, -6.8181);(0.0188, 0.0864, -0.2819, 0.9554);(0.5657, 0.0000, -3.9432);(0.0065, 0.0000, 1.5713);
538.1302;7;0;True;AfterFade;1.005;FinalWolf;True;False;1.5713;0.0000;(-0.0090, 1.1292, -7.1259);(0.0457, 0.0564, -0.0309, 0.9969);(0.1269, 0.8241, -6.8081);(-0.1385, -0.0432, -0.2711, 0.9515);(0.5657, 0.0000, -3.9432);(0.0065, 0.0000, 1.5713);
543.6926;7;0;True;Estimation;5.562;FinalWolf;True;False;1.5713;1.9958;(-0.0049, 1.1116, -7.1157);(0.1329, 0.0678, -0.0284, 0.9884);(0.0692, 0.6625, -6.8563);(0.1378, 0.0241, -0.2864, 0.9478);(0.0061, 0.0000, -5.0042);(0.0065, 0.0000, 1.5713);
545.4797;8;0;True;Focus;1.787;empty;empty;empty;7.0000;0.0000;(-0.0073, 1.1282, -7.1261);(0.0432, 0.0577, -0.0318, 0.9969);(0.0802, 0.7188, -6.8448);(0.0223, -0.0145, -0.2673, 0.9632);(0.0061, 0.0000, -5.0042);(0.0000, 0.0000, -7.0000);
545.4909;8;0;True;BeforeFade;0.011;Scorpio;True;False;4.7385;0.0000;(-0.0073, 1.1281, -7.1261);(0.0432, 0.0575, -0.0319, 0.9969);(0.0803, 0.7191, -6.8450);(0.0222, -0.0143, -0.2677, 0.9631);(0.0061, 0.0000, -5.0042);(-1.0444, 0.0000, 4.6220);
545.5914;8;0;True;Stimuli;0.101;Scorpio;True;False;4.7385;0.0000;(-0.0070, 1.1279, -7.1259);(0.0446, 0.0573, -0.0317, 0.9969);(0.0817, 0.7215, -6.8454);(0.0157, -0.0125, -0.2645, 0.9642);(0.0061, 0.0000, -5.0042);(-1.0444, 0.0000, 4.6220);
546.5967;8;0;True;AfterFade;1.005;Scorpio;True;False;4.7385;0.0000;(-0.0083, 1.1260, -7.1250);(0.0553, 0.0470, -0.0301, 0.9969);(0.0730, 0.7223, -6.8504);(0.0158, -0.0294, -0.2668, 0.9632);(0.0061, 0.0000, -5.0042);(-1.0444, 0.0000, 4.6220);
549.6013;8;0;True;Estimation;3.005;Scorpio;True;False;4.7385;4.6255;(-0.0293, 1.1123, -7.1118);(0.1276, -0.0048, -0.0076, 0.9918);(0.0079, 0.7436, -6.8464);(0.0417, -0.1075, -0.3009, 0.9467);(-1.0162, 0.0000, -2.4876);(-1.0444, 0.0000, 4.6220);
607.5704;1;0;False;Init;57.969;empty;empty;empty;7.0000;0.0000;(-0.0047, 1.1322, -7.1418);(0.0237, 0.0555, -0.0329, 0.9976);(0.1214, 0.8267, -6.8671);(-0.2326, 0.0024, -0.2061, 0.9505);(-1.0162, 0.0000, -2.4876);(0.0000, 0.0000, -7.0000);
609.3459;1;0;False;Focus;1.776;empty;empty;empty;7.0000;0.0000;(-0.0077, 1.1306, -7.1382);(0.0314, 0.0454, -0.0325, 0.9979);(0.1273, 0.8277, -6.8662);(-0.2351, 0.0082, -0.2056, 0.9499);(-1.0162, 0.0000, -2.4876);(0.0000, 0.0000, -7.0000);
609.3571;1;0;False;BeforeFade;0.011;Pidgeon;False;False;3.9642;0.0000;(-0.0077, 1.1306, -7.1380);(0.0313, 0.0454, -0.0326, 0.9979);(0.1273, 0.8277, -6.8663);(-0.2353, 0.0081, -0.2056, 0.9499);(-1.0162, 0.0000, -2.4876);(0.2467, 0.0000, 3.9565);
609.4575;1;0;False;Stimuli;0.101;Pidgeon;False;False;3.9642;0.0000;(-0.0079, 1.1306, -7.1377);(0.0318, 0.0455, -0.0328, 0.9979);(0.1272, 0.8277, -6.8660);(-0.2352, 0.0081, -0.2052, 0.9500);(-1.0162, 0.0000, -2.4876);(0.2467, 0.0000, 3.9565);
