number	latency	duration	channel	bvtime	type	code	urevent
212.000000	158477.500000	0.000000			RP		3812.000000
213.000000	159208.500000	0.000000			RP		3813.000000
214.000000	159766.000000	0.000000			RP		3814.000000
215.000000	160358.500000	0.000000			RP		3815.000000
216.000000	160939.000000	0.000000			RP		3816.000000
217.000000	161519.000000	0.000000			RP		3817.000000
218.000000	162119.000000	0.000000			RP		3818.000000
219.000000	162799.500000	0.000000			RP		3819.000000
220.000000	163599.500000	0.000000			RP		3820.000000
221.000000	164379.500000	0.000000			RP		3821.000000
222.000000	165170.500000	0.000000			RP		3822.000000
223.000000	165920.500000	0.000000			RP		3823.000000
224.000000	166619.000000	0.000000			RP		3824.000000
225.000000	167239.500000	0.000000			RP		3825.000000
226.000000	167852.000000	0.000000			RP		3826.000000
227.000000	168642.000000	0.000000			RP		3827.000000
228.000000	169440.000000	0.000000			RP		3828.000000
229.000000	170162.500000	0.000000			RP		3829.000000
230.000000	170812.500000	0.000000			RP		3830.000000
231.000000	171433.000000	0.000000			RP		3831.000000
232.000000	172133.500000	0.000000			RP		3832.000000
233.000000	172883.500000	0.000000			RP		3833.000000
234.000000	173621.500000	0.000000			RP		3834.000000
235.000000	174464.000000	0.000000			RP		3835.000000
236.000000	175324.500000	0.000000			RP		3836.000000
237.000000	176184.500000	0.000000			RP		3837.000000
238.000000	176985.000000	0.000000			RP		3838.000000
239.000000	177683.000000	0.000000			RP		3839.000000
240.000000	178325.000000	0.000000			RP		3840.000000
241.000000	179025.000000	0.000000			RP		3841.000000
242.000000	179956.000000	0.000000			RP		3842.000000
243.000000	180805.500000	0.000000			RP		3843.000000
244.000000	181655.500000	0.000000			RP		3844.000000
245.000000	182423.000000	0.000000			RP		3845.000000
246.000000	183145.500000	0.000000			RP		3846.000000
247.000000	184046.000000	0.000000			RP		3847.000000
248.000000	184866.000000	0.000000			RP		3848.000000
249.000000	185666.000000	0.000000			RP		3849.000000
250.000000	186346.500000	0.000000			RP		3850.000000
251.000000	187055.500000	0.000000			RP		3851.000000
252.000000	187966.500000	0.000000			RP		3852.000000
253.000000	188726.500000	0.000000			RP		3853.000000
254.000000	189555.500000	0.000000			RP		3854.000000
255.000000	191126.500000	0.000000			RP		3855.000000
256.000000	191977.000000	0.000000			RP		3856.000000
257.000000	192847.000000	0.000000			RP		3857.000000
258.000000	193637.500000	0.000000			RP		3858.000000
259.000000	194458.000000	0.000000			RP		3859.000000
260.000000	195306.000000	0.000000			RP		3860.000000
261.000000	196166.000000	0.000000			RP		3861.000000
262.000000	197028.500000	0.000000			RP		3862.000000
263.000000	197809.000000	0.000000			RP		3863.000000
264.000000	198609.500000	0.000000			RP		3864.000000
265.000000	199489.500000	0.000000			RP		3865.000000
266.000000	200349.500000	0.000000			RP		3866.000000
267.000000	201150.000000	0.000000			RP		3867.000000
268.000000	201961.000000	0.000000			RP		3868.000000
269.000000	202771.500000	0.000000			RP		3869.000000
270.000000	203561.500000	0.000000			RP		3870.000000
271.000000	204411.500000	0.000000			RP		3871.000000
272.000000	205252.500000	0.000000			RP		3872.000000
273.000000	206093.000000	0.000000			RP		3873.000000
274.000000	206843.000000	0.000000			RP		3874.000000
275.000000	207653.500000	0.000000			RP		3875.000000
276.000000	208532.000000	0.000000			RP		3876.000000
277.000000	209354.500000	0.000000			RP		3877.000000
278.000000	210215.000000	0.000000			RP		3878.000000
279.000000	211096.000000	0.000000			RP		3879.000000
280.000000	211995.500000	0.000000			RP		3880.000000
281.000000	212748.500000	0.000000			RP		3881.000000
282.000000	213646.500000	0.000000			RP		3882.000000
283.000000	214316.500000	0.000000			RP		3883.000000
284.000000	214977.000000	0.000000			RP		3884.000000
285.000000	215717.500000	0.000000			RP		3885.000000
286.000000	216497.500000	0.000000			RP		3886.000000
287.000000	217378.000000	0.000000			RP		3887.000000
288.000000	218228.500000	0.000000			RP		3888.000000
289.000000	219069.000000	0.000000			RP		3889.000000
290.000000	219809.500000	0.000000			RP		3890.000000
291.000000	220519.000000	0.000000			RP		3891.000000
292.000000	221230.000000	0.000000			RP		3892.000000
293.000000	222040.500000	0.000000			RP		3893.000000
294.000000	222820.500000	0.000000			RP		3894.000000
295.000000	223521.000000	0.000000			RP		3895.000000
296.000000	224261.500000	0.000000			RP		3896.000000
297.000000	225081.500000	0.000000			RP		3897.000000
298.000000	225899.500000	0.000000			RP		3898.000000
299.000000	226642.500000	0.000000			RP		3899.000000
300.000000	227423.000000	0.000000			RP		3900.000000
301.000000	228281.500000	0.000000			RP		3901.000000
302.000000	229124.000000	0.000000			RP		3902.000000
303.000000	229954.500000	0.000000			RP		3903.000000
304.000000	230744.500000	0.000000			RP		3904.000000
305.000000	231635.500000	0.000000			RP		3905.000000
306.000000	232435.500000	0.000000			RP		3906.000000
307.000000	233185.500000	0.000000			RP		3907.000000
308.000000	233903.500000	0.000000			RP		3908.000000
309.000000	234556.000000	0.000000			RP		3909.000000
310.000000	235184.000000	0.000000			RP		3910.000000
311.000000	235786.000000	0.000000			RP		3911.000000
312.000000	236396.500000	0.000000			RP		3912.000000
313.000000	237006.500000	0.000000			RP		3913.000000
314.000000	237667.000000	0.000000			RP		3914.000000
315.000000	238397.500000	0.000000			RP		3915.000000
316.000000	239207.500000	0.000000			RP		3916.000000
317.000000	240027.500000	0.000000			RP		3917.000000
318.000000	240868.000000	0.000000			RP		3918.000000
319.000000	241638.000000	0.000000			RP		3919.000000
320.000000	242328.500000	0.000000			RP		3920.000000
321.000000	243028.500000	0.000000			RP		3921.000000
322.000000	243769.000000	0.000000			RP		3922.000000
323.000000	244489.000000	0.000000			RP		3923.000000
324.000000	245158.500000	0.000000			RP		3924.000000
325.000000	245769.500000	0.000000			RP		3925.000000
326.000000	246217.000000	0.000000			RP		3926.000000
327.000000	246939.000000	0.000000			RP		3927.000000
328.000000	247528.000000	0.000000			RP		3928.000000
329.000000	248130.500000	0.000000			RP		3929.000000
330.000000	248930.500000	0.000000			RP		3930.000000
331.000000	249831.000000	0.000000			RP		3931.000000
332.000000	250641.500000	0.000000			RP		3932.000000
333.000000	251349.000000	0.000000			RP		3933.000000
334.000000	252021.500000	0.000000			RP		3934.000000
335.000000	252752.500000	0.000000			RP		3935.000000
336.000000	253562.500000	0.000000			RP		3936.000000
337.000000	254332.500000	0.000000			RP		3937.000000
338.000000	255042.500000	0.000000			RP		3938.000000
339.000000	255713.000000	0.000000			RP		3939.000000
340.000000	256473.000000	0.000000			RP		3940.000000
341.000000	257139.500000	0.000000			RP		3941.000000
342.000000	258093.000000	0.000000			RP		3942.000000
343.000000	258894.000000	0.000000			RP		3943.000000
344.000000	259714.000000	0.000000			RP		3944.000000
345.000000	260494.500000	0.000000			RP		3945.000000
346.000000	261244.500000	0.000000			RP		3946.000000
347.000000	262014.500000	0.000000			RP		3947.000000
348.000000	262795.000000	0.000000			RP		3948.000000
349.000000	263625.500000	0.000000			RP		3949.000000
350.000000	264394.500000	0.000000			RP		3950.000000
351.000000	265124.500000	0.000000			RP		3951.000000
352.000000	265855.000000	0.000000			RP		3952.000000
353.000000	266596.000000	0.000000			RP		3953.000000
354.000000	267336.000000	0.000000			RP		3954.000000
355.000000	268086.000000	0.000000			RP		3955.000000
356.000000	268866.000000	0.000000			RP		3956.000000
357.000000	269566.000000	0.000000			RP		3957.000000
358.000000	270336.500000	0.000000			RP		3958.000000
359.000000	271136.500000	0.000000			RP		3959.000000
360.000000	271927.000000	0.000000			RP		3960.000000
361.000000	272675.000000	0.000000			RP		3961.000000
362.000000	273437.000000	0.000000			RP		3962.000000
363.000000	274257.500000	0.000000			RP		3963.000000
364.000000	275077.500000	0.000000			RP		3964.000000
365.000000	275858.000000	0.000000			RP		3965.000000
366.000000	276568.000000	0.000000			RP		3966.000000
367.000000	277298.000000	0.000000			RP		3967.000000
368.000000	277998.500000	0.000000			RP		3968.000000
369.000000	278738.500000	0.000000			RP		3969.000000
370.000000	279419.000000	0.000000			RP		3970.000000
371.000000	280177.000000	0.000000			RP		3971.000000
372.000000	280970.000000	0.000000			RP		3972.000000
373.000000	281770.000000	0.000000			RP		3973.000000
374.000000	282520.000000	0.000000			RP		3974.000000
375.000000	283280.500000	0.000000			RP		3975.000000
376.000000	284061.000000	0.000000			RP		3976.000000
377.000000	284781.000000	0.000000			RP		3977.000000
378.000000	285501.500000	0.000000			RP		3978.000000
379.000000	286181.500000	0.000000			RP		3979.000000
380.000000	286831.500000	0.000000			RP		3980.000000
381.000000	287562.000000	0.000000			RP		3981.000000
382.000000	288263.000000	0.000000			RP		3982.000000
383.000000	288962.000000	0.000000			RP		3983.000000
384.000000	289632.500000	0.000000			RP		3984.000000
385.000000	290373.500000	0.000000			RP		3985.000000
386.000000	291123.500000	0.000000			RP		3986.000000
387.000000	291843.500000	0.000000			RP		3987.000000
388.000000	292644.000000	0.000000			RP		3988.000000
389.000000	293464.000000	0.000000			RP		3989.000000
390.000000	294222.000000	0.000000			RP		3990.000000
391.000000	294974.500000	0.000000			RP		3991.000000
392.000000	295745.000000	0.000000			RP		3992.000000
393.000000	296495.000000	0.000000			RP		3993.000000
394.000000	297255.500000	0.000000			RP		3994.000000
395.000000	297945.500000	0.000000			RP		3995.000000
396.000000	298606.000000	0.000000			RP		3996.000000
397.000000	299364.000000	0.000000			RP		3997.000000
398.000000	300066.500000	0.000000			RP		3998.000000
399.000000	300777.000000	0.000000			RP		3999.000000
400.000000	301537.000000	0.000000			RP		4000.000000
401.000000	302286.500000	0.000000			RP		4001.000000
402.000000	302987.500000	0.000000			RP		4002.000000
403.000000	303767.500000	0.000000			RP		4003.000000
404.000000	304566.000000	0.000000			RP		4004.000000
405.000000	305308.500000	0.000000			RP		4005.000000
406.000000	306068.000000	0.000000			RP		4006.000000
407.000000	306738.500000	0.000000			RP		4007.000000
408.000000	307369.000000	0.000000			RP		4008.000000
409.000000	307969.000000	0.000000			RP		4009.000000
410.000000	308599.000000	0.000000			RP		4010.000000
411.000000	309348.000000	0.000000			RP		4011.000000
412.000000	310150.000000	0.000000			RP		4012.000000
413.000000	311010.500000	0.000000			RP		4013.000000
414.000000	311851.000000	0.000000			RP		4014.000000
415.000000	312621.000000	0.000000			RP		4015.000000
416.000000	313461.500000	0.000000			RP		4016.000000
417.000000	314281.500000	0.000000			RP		4017.000000
418.000000	315012.000000	0.000000			RP		4018.000000
419.000000	315812.000000	0.000000			RP		4019.000000
420.000000	316662.500000	0.000000			RP		4020.000000
421.000000	317452.500000	0.000000			RP		4021.000000
422.000000	318252.500000	0.000000			RP		4022.000000
423.000000	319032.500000	0.000000			RP		4023.000000
424.000000	319853.000000	0.000000			RP		4024.000000
425.000000	320563.000000	0.000000			RP		4025.000000
426.000000	321213.500000	0.000000			RP		4026.000000
427.000000	321834.000000	0.000000			RP		4027.000000
428.000000	322474.000000	0.000000			RP		4028.000000
429.000000	323214.000000	0.000000			RP		4029.000000
430.000000	323994.000000	0.000000			RP		4030.000000
431.000000	324754.500000	0.000000			RP		4031.000000
432.000000	325434.000000	0.000000			RP		4032.000000
433.000000	326174.500000	0.000000			RP		4033.000000
434.000000	327054.500000	0.000000			RP		4034.000000
435.000000	327914.500000	0.000000			RP		4035.000000
436.000000	328755.000000	0.000000			RP		4036.000000
437.000000	329575.000000	0.000000			RP		4037.000000
438.000000	330315.500000	0.000000			RP		4038.000000
439.000000	331116.500000	0.000000			RP		4039.000000
440.000000	331936.500000	0.000000			RP		4040.000000
441.000000	332676.500000	0.000000			RP		4041.000000
442.000000	333437.000000	0.000000			RP		4042.000000
443.000000	334277.500000	0.000000			RP		4043.000000
444.000000	335057.500000	0.000000			RP		4044.000000
445.000000	335878.500000	0.000000			RP		4045.000000
446.000000	336739.000000	0.000000			RP		4046.000000
447.000000	337179.000000	0.000000			RP		4047.000000
448.000000	337479.500000	0.000000			RP		4048.000000
449.000000	338180.000000	0.000000			RP		4049.000000
450.000000	338920.500000	0.000000			RP		4050.000000
451.000000	339720.000000	0.000000			RP		4051.000000
452.000000	340481.500000	0.000000			RP		4052.000000
453.000000	341161.000000	0.000000			RP		4053.000000
454.000000	341882.000000	0.000000			RP		4054.000000
455.000000	342702.500000	0.000000			RP		4055.000000
456.000000	343502.500000	0.000000			RP		4056.000000
457.000000	344302.500000	0.000000			RP		4057.000000
458.000000	345083.000000	0.000000			RP		4058.000000
459.000000	345844.000000	0.000000			RP		4059.000000
